   1 	     3.1138 
   2 	     5.9060 
   3 	     8.7958 
   4 	    11.7080 
   5 	    14.4188 
   6 	    17.1112 
   7 	    19.9701 
   8 	    22.6991 
   9 	    25.4055 
  10 	    28.1319 
  11 	    30.8748 
  12 	    33.5674 
  13 	    36.3115 
  14 	    39.1204 
  15 	    41.7617 
  16 	    44.5388 
  17 	    47.2905 
  18 	    49.9882 
  19 	    52.7948 
  20 	    55.5182 
  21 	    58.2461 
  22 	    60.9371 
  23 	    63.7517 
  24 	    66.4767 
  25 	    69.1096 
  26 	    72.0058 
  27 	    74.7584 
  28 	    77.4805 
  29 	    80.1721 
  30 	    82.9135 
