   1 	     2.6273 
   2 	     5.1672 
   3 	     7.9349 
   4 	    10.6866 
   5 	    13.5588 
   6 	    16.2763 
   7 	    18.9565 
   8 	    21.6984 
   9 	    24.5486 
  10 	    27.3269 
  11 	    30.1673 
  12 	    32.6267 
  13 	    35.3616 
  14 	    38.0305 
  15 	    41.0336 
  16 	    43.8246 
  17 	    46.5177 
  18 	    49.3112 
  19 	    51.9430 
  20 	    54.8018 
  21 	    57.4012 
  22 	    59.9991 
  23 	    62.9214 
  24 	    65.6798 
  25 	    68.4912 
  26 	    71.2574 
  27 	    73.9245 
  28 	    76.7986 
  29 	    79.5437 
  30 	    82.2514 
  31 	    85.0603 
